EE Code,Fund Code,Fund Code Desc
A1OZ,669-18,CRT Local Unrestricted
A0HH,611S-26,DSS HSI State
A0YX,605C-20,Congregate
A0AF,564C-23,ENP Midstate Region Congregate
A1MK,UNA,Unassigned
A1KJ,699,Crt Local Unrestricted
A0D4,699,Crt Local Unrestricted
A04F,605HD-26,Elderly Nutrition Home Delivered
A04V,699,Crt Local Unrestricted
A194,582-23,East Hartford Shelter
A03X,544-23,Oec Infant Daycare
A0HM,UNA,Unassigned
A0Z2,661-17,ACF HeadStart PA22
A0XS,UNA,Unassigned
A0YT,605HD-24,Elderly Nutrition Home Delivered
A1HX,UNA,Unassigned
A07J,424-26,COH McKinney
A0U9,605HD-22,Home Delivered
A0SB,564HD-23,ENP Midstate Region Home Delivered
A1I3,UNA,Unassigned
A1KV,UNA,Unassigned
A11V,524-22,Dss Ceap Admin
A08G,524-24,DSS CEAP Admin
A0TQ,661-18,ACF HeadStart PA22
A20Q,363JOB-26,Job Corps
A0LG,UNA,Unassigned
A0GP,611F-23,DSS HSI Federal
A1M2,424-21,Coh Mckinney
A0V9,638-25,Behavioral Health Services
A0H2,524-21,Dss Ceap Admin
A03V,699,Crt Local Unrestricted
A00Y,524-21,Dss Ceap Admin
A0CM,669-18,CRT Local Unrestricted
A03D,661-18,ACF HeadStart PA22
A0JC,661-18,ACF HeadStart PA22
A1PX,605HD-19,Home Delivered
A1QV,605-18,Elderly Nutrition
A0DO,605C-26,Elderly Nutrition Congregate
A003,UNA,Unassigned
A1O3,UNA,Unassigned
A110,UNA,Unassigned
A1NN,544-25,OEC Infant Daycare
A178,UNA,Unassigned
A1S4,301-26,Deep Weatherization
A0ZP,UNA,Unassigned
A08W,514-19,Cafcs Ssbg
A1AX,611S-22,State Portion
A1BB,424-26,COH McKinney
A1V9,375EIS-21,Coh Ryan White Early Intervention
A1MD,699,Crt Local Unrestricted
A1VB,605-18,Elderly Nutrition
A1SU,UNA,Unassigned
A1FT,524-26,DSS CEAP Admin
A1G3,638-17,Behavioral Health Services
A20V,363RIT-26,Ritter
A18Z,661-18,ACF HeadStart PA22
A15H,669-18,CRT Local Unrestricted
A0YW,382-26,HUD CRT PSH Consolidated
A173,699,Crt Local Unrestricted
A1Y3,544-20,Oec Infanty Daycare
A20C,661-18,ACF HeadStart PA22
A20T,363JOB-26,Job Corps
A1PB,638-18,Behavioral Health Services
A1V4,UNA,Unassigned
A0GC,321-25,Htfd Health Community Responders
A0MK,598-26,SAMSHA HARP
A16D,605C-22,Congregate
A0YZ,UNA,Unassigned
A0ST,669-17,CRT Local Unrestricted
A0G4,UNA,Unassigned
A119,650-18,Retreat
A1NK,412-22,Summer Youth
A0OP,699,Crt Local Unrestricted
A1DN,661-18,ACF HeadStart PA22
A0B6,580HUD-23,HUD
A1QW,638-18,Behavioral Health Services
A1OE,419-24,COH SR Full Day
A0GR,UNA,Unassigned
A0V7,355-26,Journey Home Unsheltered
A0A8,301-19,Deep Weatherization
A0O0,524-17,Dss Ceap Admin
A0ZJ,UNA,Unassigned
A1C6,UNA,Unassigned
A1R8,623-22,Youthbuild
A0AC,321-22,Htfd Health Community Responders
A1RG,699,Crt Local Unrestricted
A18E,419-18,Coh Sr Full Day
A1S9,UNA,Unassigned
A1WA,UNA,Unassigned
A1JR,363RIT-26,Ritter
A16W,UNA,Unassigned
A11B,699,Crt Local Unrestricted
A0CF,661-18,ACF HeadStart PA22
A1NJ,661-18,ACF HeadStart PA22
